,0,1,2,3,4,5
0,0.153881462,0.064540712,-0.056207068,0.048240366,-0.093386281,0.375825153
1,0.065163314,-0.072150439,-0.177310293,-0.010228349,-0.168988371,0.30417248
2,0.04663306,-0.048205889,-0.201803357,-0.031042058,-0.239436457,0.185259925
3,0.066629211,-0.03310307,-0.186532551,-0.019533535,-0.241626048,0.204358812
4,0.092800654,-0.011449759,-0.151953342,-0.010049254,-0.252042547,0.17555107
5,0.080020691,-0.047839294,-0.225420679,-0.09375319,-0.300367211,0.125116264
6,0.012070401,-0.123343481,-0.258627202,-0.097511331,-0.332186513,0.055546292
7,0.079305049,-0.02788331,-0.149571049,-0.005419755,-0.186102895,0.235623273
8,0.062762129,-0.004387377,-0.13980862,-0.016625938,-0.27216241,0.116841469
9,0.096338355,0.031845992,-0.066137964,0.065042624,-0.194028513,0.219602552
10,0.141012002,0.090201591,-0.055167032,0.042003967,-0.232678177,0.147626394
11,0.078145591,0.015562915,-0.100026714,0.026610902,-0.182511908,0.257200801
12,0.111981707,0.034826388,-0.0791502,0.038565137,-0.214844569,0.203573086
13,0.101392925,0.004886937,-0.152247619,-0.000580869,-0.214475073,0.194682163
14,0.090106652,-0.004100376,-0.145605013,-0.026906237,-0.249970223,0.177498418
15,0.127286415,0.027252409,-0.08224312,0.083700373,-0.144204404,0.310146825
16,0.123606789,0.082364677,-0.086029112,0.061139701,-0.11714466,0.326166135
17,0.161960472,0.096224255,-0.049563554,0.101528216,-0.087825891,0.376045759
18,0.174496486,0.125973381,0.026247847,0.245342923,0.108175215,0.56680049
19,0.129715286,0.037423932,-0.124333556,0.04267215,-0.117291022,0.308847138
20,0.130294079,0.055242509,-0.080686938,0.047984273,-0.140840428,0.311556204
21,0.098120056,0.025197415,-0.154250305,-0.006536351,-0.224351111,0.194831606
22,0.124031881,0.041998105,-0.120681656,-0.038951722,-0.241937745,0.207593997
23,0.125663741,0.075743467,-0.055575889,0.060370269,-0.151137494,0.255978953
24,0.04961622,-0.011738238,-0.146482285,0.023019283,-0.200510056,0.231767561
25,0.082743502,0.056129161,-0.101809307,0.09336803,-0.103609625,0.332057499
26,0.085567317,0.041777408,-0.135644352,0.055931041,-0.160025626,0.276420162
27,0.136888732,0.043452918,-0.095435094,0.112186017,-0.040067824,0.4291072
28,0.064057511,-0.041568998,-0.256137841,-0.025854668,-0.160853282,0.273260152
29,0.072113979,-0.00466409,-0.143737995,0.042925675,-0.169908178,0.279033666
30,0.139262335,0.045173413,-0.108122259,0.091021971,-0.119411773,0.312935718
