,date,ORC58,ORC62
247,20140710,604.71,704.16
248,20140711,605.48,707.16
249,20140714,610.31,712.96
250,20140715,612.64,714.15
251,20140716,612.75,716.87
252,20140717,609.49,713.03
253,20140718,605.62,700.16
254,20140721,608.72,700.24
255,20140722,604.34,698.23
256,20140723,600.9,694.3
257,20140724,597.59,690.19
258,20140725,597.87,690.46
259,20140728,598.76,697.34
260,20140729,599.19,699.39
261,20140730,600.18,694.95
262,20140731,596.59,695.38
263,20140801,598.65,692.57
264,20140804,600.23,698.05
265,20140805,602.85,699.5
266,20140806,602.17,697.45
267,20140807,600.73,696.44
268,20140808,598.03,694.85
269,20140811,599.02,693.27
270,20140812,595.21,688.81
271,20140813,592.69,683.19
272,20140814,587.93,679.32
273,20140815,591.32,682.76
274,20140818,591.26,678.01
275,20140819,587.15,677.67
276,20140820,581.87,670.97
277,20140821,582.61,672.17
278,20140822,576.25,669.37
279,20140825,573.93,667.0
280,20140826,570.66,664.46
281,20140827,567.19,658.59
282,20140828,564.03,652.49
283,20140829,561.57,652.35
284,20140901,560.2,652.25
285,20140902,560.82,654.9
286,20140903,557.35,644.43
287,20140904,544.27,634.56
288,20140905,538.66,628.19
289,20140909,537.86,626.91
290,20140910,539.36,626.52
291,20140911,534.78,622.33
292,20140912,536.59,624.22
293,20140915,542.74,631.2
294,20140916,545.27,634.42
295,20140917,547.78,635.89
296,20140918,541.1,630.84
297,20140919,534.04,623.6
298,20140922,527.11,610.86
299,20140923,524.04,611.17
300,20140924,523.97,611.14
301,20140925,519.34,607.3
302,20140926,519.6,609.81
303,20140928,519.88,611.14
304,20140929,511.41,599.08
305,20140930,519.8,597.77
306,20141008,516.42,599.31
307,20141009,517.76,604.85
308,20141010,518.63,605.8
309,20141011,518.77,606.41
310,20141013,530.46,622.25
311,20141014,533.83,627.64
312,20141015,531.59,623.3
313,20141016,524.3,616.75
314,20141017,522.2,614.48
315,20141020,533.28,619.09
316,20141021,531.46,617.45
317,20141022,531.07,616.32
318,20141023,529.45,613.57
319,20141024,531.76,615.53
320,20141027,526.06,610.34
321,20141028,524.97,607.63
322,20141029,522.91,604.23
323,20141030,522.81,604.89
324,20141031,519.93,599.58
