date,SAU,ZTA,DXL,FIF,DPP,DCS,DXP,SCU,ZCF,ZFG,SRB,SAL,FIH,DXI,ZOI,DXC,DXM,SAG,FTF,ZSR,SZN,DJM,FXT,SNI,DXJ,FIC,SHC,DJD,DXY,SRU
20070123,,973.9856802,,,,,,812.0691622,979.9551296,,,1001.052791,,,,1028.48051,1008.661634,,,917.7335809,,,,,,,,,985.744721,1125.196335
20070124,,984.9642005,,,,,,840.36352,982.0536937,,,1011.407899,,,,1017.481911,1005.213978,,,918.3934317,,,,,,,,,984.791994,1148.701585
20070125,,985.6801909,,,,,,848.2524362,982.3710591,,,1006.328982,,,,1019.929719,1013.539495,,,918.1163801,,,,,,,,,985.4196912,1157.185063
20070126,,988.3054893,,,,,,841.3367482,984.1902222,,,999.9959796,,,,1017.486981,1005.914426,,,915.8252544,,,,,,,,,961.5887353,1159.635773
20070129,,980.1909308,,,,,,853.5559084,985.2390575,,,1005.970142,,,,1020.55439,1008.139433,,,921.0549912,,,,,,,,,959.5908357,1201.182432
20070130,,976.6109785,,,,,,818.515517,982.0284105,,,990.9248846,,,,1015.675132,999.5257985,,,922.4356222,,,,,,,,,958.1176943,1187.533097
20070131,,987.1121718,,,,,,827.785008,985.5184547,,,996.802029,,,,1022.478731,1010.75581,,,941.2113381,,,,,,,,,964.0090047,1201.504783
20070201,,990.4534606,,,,,,837.495669,987.3248204,,,1004.39953,,,,1024.99289,1012.586508,,,936.9080249,,,,,,,,,971.9836715,1193.296503
20070202,,978.7589499,,,,,,826.396644,987.6708775,,,1005.018067,,,,1019.453629,1015.13713,,,938.4572646,,,,,,,,,969.5180571,1156.11637
20070205,,977.0883055,,,,,,790.5254623,987.3364738,,,1006.685444,,,,1021.305592,1027.562341,,,943.3039227,,,,,,,,,983.3096631,1146.553305
20070206,,982.1002387,,,,,,793.9393862,988.0429019,,,1012.235468,,,,1023.410612,1031.789511,,,938.9101643,,,,,,,,,987.6848122,1164.601709
